"Annex table 3. FDI instock, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Switzerland,34  244.8,35  748.9,32  989.9,38  713.7,48  667.5,57  062.8,53  918.2,59  518.9,71  995.1,75  994.9,101  634.8,103  773.0,143  617.9,184  198.8,222  692.7,192  342.4,293  730.0,381  391.0,478  224.2,532  405.0,648  091.7,720  565.9,781  079.3,822  051.2,720  406.8,799  389.5,992  127.3,1125  689.5,1075  642.2,1098  557.0,1181  032.0,1100  367.8,1038  034.1,1136  788.0
Ukraine,  0.0,  200.0,  284.2,  484.2,  484.0,  897.0,1  438.0,2  063.6,2  801.0,3  248.0,3  875.0,4  801.0,5  924.0,7  566.0,9  606.0,17  209.0,23  125.0,38  059.0,46  997.0,45  354.0,52  872.0,58  654.0,65  121.0,67  031.0,49  835.0,46  009.0,47  706.0,47  765.0,46  894.0,54  210.0,52  091.0,65  746.0,50  987.0,54  261.0
United Kingdom,203  905.4,208  345.6,172  986.3,179  232.7,189  587.5,199  771.8,228  642.6,252  958.6,337  386.2,385  145.9,439  457.7,479  680.6,491  596.1,570  595.6,659  807.0,788  149.5,1035  206.4,1124  649.7,911  161.6,1026  226.2,1068  186.9,1157  504.2,1440  493.7,1512  553.6,1581  501.1,1530  629.4,1460  614.1,1881  475.7,1996  776.6,2152  764.4,2575  604.9,2689  966.1,2718  891.7,3048  932.3
North America,652  444.2,786  161.9,804  679.9,875  265.8,868  056.9,1128  907.2,1362  095.5,1773  351.6,2322  379.7,2973  183.0,3108  255.0,2877  663.1,2312  289.9,2894  816.6,3261  529.7,3456  620.1,3999  954.2,4584  273.3,3106  637.1,3862  845.8,4406  182.5,4361  424.3,4869  307.8,5930  947.1,6451  599.6,6537  680.7,7406  203.5,8769  913.1,8312  337.7,10338  586.1,11438  731.3,14440  534.1,11879  937.6,14482  836.9
Canada,112  843.2,117  024.9,108  502.9,106  867.8,110  203.9,123  181.2,132  977.5,135  943.6,143  344.7,174  990.0,325  020.0,317  369.1,290  472.9,439  939.6,544  146.7,638  650.1,706  901.2,1032  966.3,620  191.1,867  386.8,983  889.5,862  698.3,953  502.8,982  529.1,994  711.6,806  297.7,903  453.5,963  583.1,965  460.7,1387  443.1,1297  537.3,1548  813.1,1495  990.6,1665  773.9
United States,539  601.0,669  137.0,696  177.0,768  398.0,757  853.0,1005  726.0,1229  118.0,1637  408.0,2179  035.0,2798  193.0,2783  235.0,2560  294.0,2021  817.0,2454  877.0,2717  383.0,2817  970.0,3293  053.0,3551  307.0,2486  446.0,2995  459.0,3422  293.0,3498  726.0,3915  805.0,4948  418.0,5456  888.0,5731  383.0,6502  750.0,7806  330.0,7346  877.0,8951  143.0,10141  194.0,12891  721.0,10383  947.0,12817  063.0
Other developed economies,107  814.4,115  482.2,118  913.6,132  473.7,161  730.8,194  682.4,220  491.7,188  287.8,205  102.3,265  926.3,260  538.7,266  821.4,343  154.2,436  064.9,546  110.2,529  633.4,620  442.2,757  036.5,700  687.2,876  981.9,1000  769.4,1048  375.6,1129  433.0,1085  933.1,1102  570.6,1088  455.0,1176  812.3,1337  499.3,1364  544.7,1436  957.3,1572  786.7,1601  971.0,1601  299.3,1684  888.4
Australia,80  364.4,81  538.4,79  665.6,87  643.0,101  343.9,111  310.6,122  701.9,106  451.3,113  102.5,127  144.5,121  685.8,123  670.9,154  274.8,219  094.3,291  009.6,247  747.9,302  078.8,391  760.6,307  751.0,439  623.3,527  728.2,555  574.6,615  813.9,569  825.3,582  537.9,566  429.0,611  138.4,700  460.2,699  981.2,726  118.6,783  821.0,763  568.4,776  764.5,807  426.6
Israel,4  476.0,4  568.0,4  307.0,4  976.0,4  263.8,5  893.2,7  376.5,9  045.0,10  417.8,17  743.1,20  425.7,18  938.7,17  885.9,22  652.7,24  876.3,30  811.1,43  372.6,49  088.6,48  247.6,56  253.5,60  086.3,64  841.9,75  804.8,86  531.0,89  619.7,99  312.7,107  482.8,127  160.7,143  970.9,161  396.6,182  629.0,221  501.0,229  879.5,244  471.5
Japan,9  850.0,12  297.0,15  511.0,16  884.0,19  211.0,33  531.0,29  939.7,27  079.6,26  064.0,46  115.5,50  322.9,50  319.5,78  142.8,89  729.2,96  986.9,100  901.1,107  635.8,132  854.4,203  373.8,200  143.6,214  879.7,225  787.4,205  752.4,170  710.1,171  663.3,174  146.0,196  613.9,202  441.1,204  523.6,223  809.7,250  070.1,241  125.5,225  367.1,246  800.5
