"Annex table 17. Number of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Number of deals),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
East and South-East Asia, 2 345, 2 561, 2 253, 2 585, 2 631, 3 586, 2 910, 2 944, 3 134, 2 935, 3 168, 3 059, 2 679, 2 631, 2 353, 2 901, 2 534, 1 396, 1 574, 1 700, 2 271
East Asia, 1 564, 1 803, 1 535, 1 735, 1 579, 2 007, 1 585, 1 703, 1 882, 1 565, 1 623, 1 415, 1 188, 1 111, 1 067, 1 263, 1 158,  634,  713,  597,  703
China, 1 345, 1 575, 1 314, 1 475, 1 321, 1 626, 1 201, 1 368, 1 496, 1 192, 1 257, 1 090,  880,  806,  773,  914,  857,  445,  514,  387,  472
Democratic People’s Republic of Korea,  1,-,-,  2,  5,  4,  1,-,  2,-,  1,  1,-,  1,  1,-,-,-,-,-,  1
Mongolia,  6,  2,  8,  3,  8,  8,  3,  9,  6,  7,  14,  6,  4,  3,  2,  10,  4,  1,-,  1,  3
"Hong Kong, China",  95,  133,  132,  178,  166,  258,  279,  228,  260,  266,  250,  222,  202,  209,  209,  229,  203,  101,  104,  117,  139
"Macao, China",  2,  6,  10,  7,  12,  16,  9,  7,  9,  15,  11,  21,  33,  16,  8,  12,  7,  8,  8,  13,  10
Taiwan Province of China,  115,  87,  71,  70,  67,  95,  92,  91,  109,  85,  90,  75,  69,  76,  74,  98,  87,  79,  87,  79,  78
South-East Asia,  781,  758,  718,  850, 1 052, 1 579, 1 325, 1 241, 1 252, 1 370, 1 545, 1 644, 1 491, 1 520, 1 286, 1 638, 1 376,  762,  861, 1 103, 1 568
Brunei Darussalam,  2,  2,  4,-,  6,  4,  8,  4,  6,  3,  4,  4,  7,  7,  2,  4,  1,  2,  1,  1,  1
Cambodia,  5,  7,  6,  5,  9,  35,  32,  37,  39,  39,  39,  42,  46,  43,  39,  53,  19,  13,  10,  12,  37
Indonesia,  62,  64,  74,  103,  87,  137,  120,  131,  171,  197,  211,  178,  174,  120,  120,  140,  125,  64,  76,  100,  173
Lao People's Democratic Republic,  5,  3,  8,  8,  11,  21,  16,  13,  16,  17,  20,  23,  17,  22,  7,  18,  6,  2,  2,  2,  7
Malaysia,  185,  128,  97,  140,  175,  222,  165,  193,  195,  199,  186,  214,  172,  212,  153,  205,  183,  100,  125,  154,  230
Myanmar,  4,  1,  1,  2,  2,  6,  5,  5,  13,  70,  129,  103,  85,  94,  60,  57,  36,  15,  3,  5,  4
Philippines,  69,  74,  68,  62,  96,  142,  121,  100,  82,  101,  156,  171,  181,  174,  123,  186,  151,  50,  67,  135,  179
Singapore,  153,  184,  161,  210,  266,  325,  330,  363,  398,  420,  441,  470,  389,  395,  404,  464,  417,  309,  367,  415,  441
Thailand,  165,  132,  127,  117,  129,  333,  279,  214,  147,  142,  178,  177,  184,  176,  124,  200,  148,  73,  81,  93,  175
Timor-Leste,  1,-,  1,-,-,-,-,  1,-,  2,  1,  1,  3,-,  1,  1,  1,-,-,  1,  2
Viet Nam,  130,  163,  171,  203,  271,  354,  249,  180,  185,  180,  180,  261,  233,  277,  253,  310,  289,  134,  129,  185,  319
South Asia,  536,  771,  701, 1 085,  797, 1 119,  862,  903, 1 099,  887,  692,  832,  835, 1 004,  825,  981,  821,  458,  512, 1 093, 1 167
Afghanistan,  6,  4,  5,  3,  1,  2,  5,  9,  3,  2,  5,-,  1,-,  1,  2,-,-,-,-,  3
Bangladesh,  17,  9,  6,  12,  4,  15,  18,  34,  18,  27,  20,  29,  21,  17,  19,  28,  18,  16,  17,  22,  34
Bhutan,-,-,-,  2,-,-,  2,  2,  3,  1,  1,-,  1,-,-,  6,-,  1,  1,  1,  2
India,  452,  705,  598, 1 011,  730, 1 016,  758,  784,  978,  798,  589,  718,  726,  847,  714,  833,  732,  409,  459, 1 011, 1 058
"Iran, Islamic Republic of",  25,  20,  10,  10,  15,  18,  14,  11,  6,-,  3,  8,  8,  63,  23,  11,  3,-,-,-,  2
Maldives,-,  1,-,  5,  1,  4,  3,  10,  5,  4,  1,  2,  4,  3,  2,  6,  5,  3,  1,  3,  5
Nepal,  1,  1,-,  2,  1,  12,  4,  5,  6,-,  6,  4,  6,  3,  6,  9,  11,  5,  5,  6,  9
Pakistan,  24,  19,  70,  27,  30,  29,  35,  20,  31,  19,  28,  30,  42,  36,  37,  44,  32,  8,  15,  32,  31
Sri Lanka,  11,  12,  12,  13,  15,  23,  23,  28,  49,  36,  39,  41,  26,  35,  23,  42,  20,  16,  14,  18,  23
West Asia,  446,  432,  544,  779,  674, 1 259, 1 153, 1 024, 1 189, 1 096, 1 047,  840,  791,  781,  890, 1 003, 1 074,  863, 1 136, 1 907, 2 202
Armenia,  16,  6,  12,  8,  8,  23,  24,  8,  25,  23,  24,  14,  5,  7,  14,  15,  9,  3,  8,  25,  14
Azerbaijan,  25,  25,  20,  15,  19,  43,  44,  26,  25,  20,  38,  30,  19,  26,  22,  18,  20,  7,  3,  9,  15
Bahrain,  24,  18,  29,  52,  34,  68,  73,  59,  75,  53,  47,  33,  39,  36,  43,  28,  32,  24,  30,  31,  33
Georgia,  8,  6,  11,  19,  24,  53,  31,  31,  34,  23,  20,  21,  14,  11,  19,  21,  21,  13,  8,  32,  15
Iraq,  31,  5,  9,  5,  3,  19,  24,  48,  35,  36,  53,  29,  15,  8,  11,  14,  13,  1,  7,  11,  20
Jordan,  16,  11,  25,  35,  20,  34,  27,  47,  33,  29,  17,  14,  7,  21,  21,  14,  27,  6,  7,  11,  23
Kuwait,  7,  21,  11,  23,  12,  29,  28,  34,  34,  36,  36,  24,  17,  31,  17,  30,  25,  15,  12,  14,  23
Lebanon,  20,  23,  12,  19,  11,  9,  28,  31,  27,  20,  16,  10,  7,  10,  11,  7,  12,  4,  1,  5,  7
Oman,  11,  13,  12,  37,  17,  54,  42,  40,  67,  98,  58,  44,  42,  36,  39,  58,  60,  26,  35,  50,  43
Qatar,  21,  30,  22,  47,  36,  80,  84,  68,  91,  86,  80,  55,  35,  33,  36,  44,  31,  65,  119,  194,  73
Saudi Arabia,  31,  35,  58,  95,  54,  110,  144,  120,  167,  146,  130,  97,  92,  90,  89,  109,  137,  93,  150,  240,  389
Syrian Arab Republic,  8,  6,  23,  17,  16,  27,  24,  22,  15,  2,-,  1,-,  1,  3,  2,  1,-,-,-,-
Türkiye,  73,  71,  70,  91,  104,  180,  162,  152,  164,  164,  172,  124,  163,  160,  227,  233,  224,  211,  213,  267,  222
United Arab Emirates,  149,  158,  227,  308,  307,  519,  412,  331,  395,  358,  353,  339,  336,  309,  338,  408,  459,  395,  543, 1 013, 1 323
Yemen,  6,  4,  3,  3,  5,  9,  5,  6,  2,  2,  1,  5,-,  2,-,-,-,-,-,  2,-
State of Palestine,-,-,-,  5,  4,  2,  1,  1,-,-,  2,-,-,-,-,  2,  3,-,-,  3,  2
Central Asia,  90,  55,  57,  51,  62,  100,  86,  56,  84,  58,  61,  72,  76,  65,  44,  135,  124,  43,  53,  49,  158
Kazakhstan,  35,  31,  31,  25,  37,  58,  47,  35,  49,  31,  40,  47,  46,  29,  31,  72,  62,  11,  20,  28,  65
Kyrgyzstan,  6,  1,  4,  4,  4,  7,  2,-,  5,  2,  3,  1,  6,  5,  1,  3,  6,  1,-,  1,  8
Tajikistan,  6,  4,  7,  3,  4,  4,  6,  1,  5,  10,  7,  6,  3,  5,-,  3,  8,  9,  8,  3,  6
Turkmenistan,  12,  3,  1,  1,  5,  11,  10,  7,  9,  1,-,  2,  3,  3,-,  2,  2,-,-,  3,  4
Uzbekistan,  31,  16,  14,  18,  12,  20,  21,  13,  16,  14,  11,  16,  18,  23,  12,  55,  46,  22,  25,  14,  75
Latin America and the Caribbean,  768,  779,  571,  629,  852, 1 192, 1 240, 1 233, 1 551, 1 405, 1 703, 1 366, 1 226, 1 265, 1 345, 1 871, 1 894, 1 064, 1 241, 1 417, 1 366
South and Central America,  744,  759,  549,  609,  834, 1 154, 1 209, 1 210, 1 509, 1 372, 1 650, 1 322, 1 182, 1 226, 1 292, 1 819, 1 853, 1 042, 1 213, 1 377, 1 329
South America,  530,  553,  371,  373,  490,  674,  706,  808, 1 050,  942,  990,  766,  633,  612,  576, 1 036, 1 005,  579,  640,  681,  647
Argentina,  63,  72,  42,  60,  113,  125,  114,  117,  162,  94,  99,  58,  53,  116,  73,  126,  97,  63,  106,  72,  48
"Bolivia, Plurinational State of",  7,  13,  2,  8,  3,  3,  14,  6,  3,  4,  3,  9,  12,  11,  2,  16,  12,  5,  7,  3,  7
Brazil,  292,  254,  171,  166,  162,  264,  289,  374,  538,  508,  429,  367,  293,  202,  205,  358,  368,  225,  190,  242,  256
Chile,  61,  57,  39,  44,  32,  71,  113,  60,  83,  94,  126,  69,  88,  70,  77,  117,  150,  80,  83,  100,  90
Colombia,  41,  50,  49,  35,  90,  89,  64,  126,  137,  135,  170,  132,  99,  102,  113,  238,  236,  114,  140,  152,  132
Ecuador,  9,  21,  3,  5,  8,  10,  6,  7,  18,  15,  20,  14,  13,  11,  13,  34,  14,  18,  16,  19,  18
Guyana,-,  1,  2,  3,  1,  1,  1,  2,  2,  3,  1,-,  3,  1,  3,  2,  4,  7,  5,  7,  3
Paraguay,  2,  2,  2,-,  2,  4,  3,  8,  4,  9,  9,  10,  6,  13,  11,  13,  9,  6,  8,  7,  13
Peru,  31,  31,  29,  28,  44,  64,  77,  64,  67,  53,  80,  67,  45,  62,  58,  105,  91,  43,  60,  50,  48
