"Annex table 6. Value of net cross-border M&As by region/economy of purchaser, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Serbia and Montenegro,-,-,-,-,-,-,-,-  0.9,-,-,-,-,-  14.5,  192.5,-,-  4.7,-,-,-  2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Switzerland, 3 514.5, 5 645.7, 2 517.2,- 3 272.8, 11 427.2, 2 170.1, 8 138.7, 7 728.7, 32 457.5, 4 495.7, 59 786.4, 18 570.0,  717.0,- 2 347.8, 4 688.4, 23 098.9, 26 736.1, 32 688.7, 51 074.3, 7 601.2, 12 928.5, 20 732.1, 16 356.6, 5 578.6, 10 280.6, 40 086.6, 35 488.5, 18 641.6, 34 572.5, 17 242.1, 14 929.0, 8 298.0, 23 643.1, 17 611.6
Ukraine,-,-,-,-,-,-,-,-,  23.4,-,-,  1.2,-,  3.0,  2.2,  383.3,  22.5,  259.9,  993.3,  6.4,  40.2,  105.5,  275.5,  597.3, 2 718.3,  460.1,- 1 130.6,  162.0,  105.1,  28.6,-  65.2,-  206.7,-,  6.9
United Kingdom, 5 053.8, 3 341.7,  435.8, 12 128.4, 22 695.2, 10 666.4, 16 874.7, 32 116.2, 21 062.4, 123 369.2, 339 546.3, 32 218.7, 44 110.0, 43 962.9, 28 738.2, 47 855.1, 12 453.1, 230 268.6, 52 618.9, 27 604.8,- 3 851.1, 69 638.4,- 2 118.3,- 63 456.8,- 73 670.6, 37 757.1, 19 743.9, 128 183.8, 72 399.5, 17 765.2, 73 715.5, 26 697.1, 10 954.7, 9 153.0
Yugoslavia (former),-,-  62.0,-,-,-,-,-,-  832.9,-,-,-,-,-,-  203.5,-  50.8,-  529.4,-  225.7,-  10.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
North America, 13 785.7, 5 030.6, 8 326.4, 14 930.7, 17 962.9, 41 479.5, 44 899.9, 55 358.1, 117 407.7, 123 386.3, 150 430.0, 115 277.3, 60 976.1, 71 845.8, 67 746.4, 102 371.0, 136 014.0, 227 577.1, 13 118.3, 41 880.9, 120 717.5, 173 653.1, 110 096.6, 90 305.8, 132 859.3, 212 538.9, 136 768.9, 188 080.6, 316 495.3, 151 146.6, 152 546.4, 295 868.8, 326 592.7, 139 168.0
Canada, 1 647.3, 1 558.8, 1 316.5,  843.9, 1 152.6, 10 222.1, 3 724.3, 12 089.7, 35 132.4, 6 783.2, 39 031.8, 34 658.4, 25 575.7, 11 703.6, 26 255.3, 11 803.0, 20 425.7, 46 648.4, 43 985.8, 17 772.6, 35 613.9, 35 922.4, 37 568.6, 30 672.5, 47 731.4, 84 660.2, 58 386.6, 72 747.3, 63 141.3, 48 233.8, 27 354.8, 71 413.6, 53 888.4, 24 742.6
Greenland,-,-,-,-,-,-,  118.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Pierre and Miquelon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
United States, 12 138.4, 3 471.8, 7 009.9, 14 086.8, 16 810.4, 31 257.4, 41 056.9, 43 268.4, 82 275.4, 116 603.1, 111 398.3, 80 618.9, 35 400.4, 60 142.2, 41 491.1, 90 568.0, 115 588.4, 180 928.7,- 30 867.5, 24 108.3, 85 103.5, 137 730.7, 72 527.9, 59 633.3, 85 127.9, 127 878.7, 78 382.3, 115 333.3, 253 354.0, 102 912.8, 125 191.6, 224 455.2, 272 704.3, 114 425.5
