Corruption Perceptions Index 2022: Global scores,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2022,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Tajikistan,TJK,ECA,24,150,3.13,6,19,29,,,17,,21,22,,,,19,18,44,
Tanzania,TZA,SSA,38,94,0.99,9,36,40,39,,37,37,,35,,,32,49,35,43,33
Thailand,THA,AP,36,101,1.09,9,34,38,,,37,37,,35,43,35,32,26,,45,34
Timor-Leste,TLS,AP,42,77,5.03,4,34,50,,,41,,,35,,,,59,35,,
Togo,TGO,SSA,30,130,1.70,7,27,33,27,,25,,,35,,,32,20,35,,36
Trinidad and Tobago,TTO,AME,42,77,3.86,7,36,48,,,41,37,,35,,,32,73,,32,44
Tunisia,TUN,MENA,40,85,1.12,7,38,42,,,37,37,,47,,,41,42,,40,34
Turkey,TUR,ECA,36,101,1.51,9,34,38,,26,37,37,,47,46,,32,25,,43,35
Turkmenistan,TKM,ECA,19,167,1.07,5,17,21,,,17,20,21,22,,,,15,,,
Uganda,UGA,SSA,26,142,1.49,8,24,28,24,,33,37,,22,,,24,20,27,,18
Ukraine,UKR,ECA,33,116,1.44,8,31,35,,,37,20,36,35,,,41,30,,35,33
United Arab Emirates,ARE,MENA,67,27,3.10,7,62,72,,,57,72,,47,82,,67,71,,,72
United Kingdom,GBR,WE/EU,73,18,1.85,8,70,76,,70,,72,,71,57,,84,75,,72,80
United States of America,USA,AME,69,24,2.11,9,66,72,,70,,90,,71,61,49,67,72,,64,72
Uruguay,URY,AME,74,14,0.66,7,73,75,,,77,72,,71,,,76,75,,77,72
Uzbekistan,UZB,ECA,31,126,1.71,8,28,34,,,29,20,24,35,,,41,25,35,,37
Vanuatu,VUT,AP,48,60,2.72,3,44,52,,,,,,47,,,,54,43,,
Venezuela,VEN,AME,14,177,1.30,8,12,16,,,9,20,,10,24,,15,9,,13,9
Vietnam,VNM,AP,42,77,1.50,8,40,44,,,37,37,,47,,39,41,44,,55,36
Yemen,YEM,MENA,16,176,1.98,7,13,19,,,13,20,,10,,,15,11,10,30,
Zambia,ZMB,SSA,33,116,1.50,9,31,35,34,,21,37,,35,,,32,49,27,30,36
Zimbabwe,ZWE,SSA,23,157,1.53,8,20,26,19,,21,37,,22,,,15,20,27,,23
